time,Classification,Closed PnL,Size USD,Account,sentiment_numeric,rolling_corr,volatility,day_of_week
2023-05-01,Greed,0.0,477.0,1,3,,,0
2023-05-02,Neutral,0.0,0.0,0,2,,,1
2023-05-03,Neutral,0.0,0.0,0,2,,,2
2023-05-04,Neutral,0.0,0.0,0,2,,,3
2023-05-05,Neutral,0.0,0.0,0,2,,,4
2023-05-06,Neutral,0.0,0.0,0,2,,,5
2023-05-07,Neutral,0.0,0.0,0,2,,,6
2023-05-08,Neutral,0.0,0.0,0,2,,,0
2023-05-09,Neutral,0.0,0.0,0,2,,,1
2023-05-10,Neutral,0.0,0.0,0,2,,,2
2023-05-11,Neutral,0.0,0.0,0,2,,,3
2023-05-12,Neutral,0.0,0.0,0,2,,,4
2023-05-13,Neutral,0.0,0.0,0,2,,,5
2023-05-14,Neutral,0.0,0.0,0,2,,,6
2023-05-15,Neutral,0.0,0.0,0,2,,,0
2023-05-16,Neutral,0.0,0.0,0,2,,,1
2023-05-17,Neutral,0.0,0.0,0,2,,,2
2023-05-18,Neutral,0.0,0.0,0,2,,,3
2023-05-19,Neutral,0.0,0.0,0,2,,,4
2023-05-20,Neutral,0.0,0.0,0,2,,,5
2023-05-21,Neutral,0.0,0.0,0,2,,0.0,6
2023-05-22,Neutral,0.0,0.0,0,2,,0.0,0
2023-05-23,Neutral,0.0,0.0,0,2,,0.0,1
2023-05-24,Neutral,0.0,0.0,0,2,,0.0,2
2023-05-25,Neutral,0.0,0.0,0,2,,0.0,3
2023-05-26,Neutral,0.0,0.0,0,2,,0.0,4
2023-05-27,Neutral,0.0,0.0,0,2,,0.0,5
2023-05-28,Neutral,0.0,0.0,0,2,,0.0,6
2023-05-29,Neutral,0.0,0.0,0,2,,0.0,0
2023-05-30,Neutral,0.0,0.0,0,2,,0.0,1
2023-05-31,Neutral,0.0,0.0,0,2,,0.0,2
2023-06-01,Neutral,0.0,0.0,0,2,,0.0,3
2023-06-02,Neutral,0.0,0.0,0,2,,0.0,4
2023-06-03,Neutral,0.0,0.0,0,2,,0.0,5
2023-06-04,Neutral,0.0,0.0,0,2,,0.0,6
2023-06-05,Neutral,0.0,0.0,0,2,,0.0,0
2023-06-06,Neutral,0.0,0.0,0,2,,0.0,1
2023-06-07,Neutral,0.0,0.0,0,2,,0.0,2
2023-06-08,Neutral,0.0,0.0,0,2,,0.0,3
2023-06-09,Neutral,0.0,0.0,0,2,,0.0,4
2023-06-10,Neutral,0.0,0.0,0,2,,0.0,5
2023-06-11,Neutral,0.0,0.0,0,2,,0.0,6
2023-06-12,Neutral,0.0,0.0,0,2,,0.0,0
2023-06-13,Neutral,0.0,0.0,0,2,,0.0,1
2023-06-14,Neutral,0.0,0.0,0,2,,0.0,2
2023-06-15,Neutral,0.0,0.0,0,2,,0.0,3
2023-06-16,Neutral,0.0,0.0,0,2,,0.0,4
2023-06-17,Neutral,0.0,0.0,0,2,,0.0,5
2023-06-18,Neutral,0.0,0.0,0,2,,0.0,6
2023-06-19,Neutral,0.0,0.0,0,2,,0.0,0
2023-06-20,Neutral,0.0,0.0,0,2,,0.0,1
2023-06-21,Neutral,0.0,0.0,0,2,,0.0,2
2023-06-22,Neutral,0.0,0.0,0,2,,0.0,3
2023-06-23,Neutral,0.0,0.0,0,2,,0.0,4
2023-06-24,Neutral,0.0,0.0,0,2,,0.0,5
2023-06-25,Neutral,0.0,0.0,0,2,,0.0,6
2023-06-26,Neutral,0.0,0.0,0,2,,0.0,0
2023-06-27,Neutral,0.0,0.0,0,2,,0.0,1
2023-06-28,Neutral,0.0,0.0,0,2,,0.0,2
2023-06-29,Neutral,0.0,0.0,0,2,,0.0,3
2023-06-30,Neutral,0.0,0.0,0,2,,0.0,4
2023-07-01,Neutral,0.0,0.0,0,2,,0.0,5
2023-07-02,Neutral,0.0,0.0,0,2,,0.0,6
2023-07-03,Neutral,0.0,0.0,0,2,,0.0,0
2023-07-04,Neutral,0.0,0.0,0,2,,0.0,1
2023-07-05,Neutral,0.0,0.0,0,2,,0.0,2
2023-07-06,Neutral,0.0,0.0,0,2,,0.0,3
2023-07-07,Neutral,0.0,0.0,0,2,,0.0,4
2023-07-08,Neutral,0.0,0.0,0,2,,0.0,5
2023-07-09,Neutral,0.0,0.0,0,2,,0.0,6
2023-07-10,Neutral,0.0,0.0,0,2,,0.0,0
2023-07-11,Neutral,0.0,0.0,0,2,,0.0,1
2023-07-12,Neutral,0.0,0.0,0,2,,0.0,2
2023-07-13,Neutral,0.0,0.0,0,2,,0.0,3
2023-07-14,Neutral,0.0,0.0,0,2,,0.0,4
2023-07-15,Neutral,0.0,0.0,0,2,,0.0,5
2023-07-16,Neutral,0.0,0.0,0,2,,0.0,6
2023-07-17,Neutral,0.0,0.0,0,2,,0.0,0
2023-07-18,Neutral,0.0,0.0,0,2,,0.0,1
2023-07-19,Neutral,0.0,0.0,0,2,,0.0,2
2023-07-20,Neutral,0.0,0.0,0,2,,0.0,3
2023-07-21,Neutral,0.0,0.0,0,2,,0.0,4
2023-07-22,Neutral,0.0,0.0,0,2,,0.0,5
2023-07-23,Neutral,0.0,0.0,0,2,,0.0,6
2023-07-24,Neutral,0.0,0.0,0,2,,0.0,0
2023-07-25,Neutral,0.0,0.0,0,2,,0.0,1
2023-07-26,Neutral,0.0,0.0,0,2,,0.0,2
2023-07-27,Neutral,0.0,0.0,0,2,,0.0,3
2023-07-28,Neutral,0.0,0.0,0,2,,0.0,4
2023-07-29,Neutral,0.0,0.0,0,2,,0.0,5
2023-07-30,Neutral,0.0,0.0,0,2,,0.0,6
2023-07-31,Neutral,0.0,0.0,0,2,,0.0,0
2023-08-01,Neutral,0.0,0.0,0,2,,0.0,1
2023-08-02,Neutral,0.0,0.0,0,2,,0.0,2
2023-08-03,Neutral,0.0,0.0,0,2,,0.0,3
2023-08-04,Neutral,0.0,0.0,0,2,,0.0,4
2023-08-05,Neutral,0.0,0.0,0,2,,0.0,5
2023-08-06,Neutral,0.0,0.0,0,2,,0.0,6
2023-08-07,Neutral,0.0,0.0,0,2,,0.0,0
2023-08-08,Neutral,0.0,0.0,0,2,,0.0,1
2023-08-09,Neutral,0.0,0.0,0,2,,0.0,2
2023-08-10,Neutral,0.0,0.0,0,2,,0.0,3
2023-08-11,Neutral,0.0,0.0,0,2,,0.0,4
2023-08-12,Neutral,0.0,0.0,0,2,,0.0,5
2023-08-13,Neutral,0.0,0.0,0,2,,0.0,6
2023-08-14,Neutral,0.0,0.0,0,2,,0.0,0
2023-08-15,Neutral,0.0,0.0,0,2,,0.0,1
2023-08-16,Neutral,0.0,0.0,0,2,,0.0,2
2023-08-17,Neutral,0.0,0.0,0,2,,0.0,3
2023-08-18,Neutral,0.0,0.0,0,2,,0.0,4
2023-08-19,Neutral,0.0,0.0,0,2,,0.0,5
2023-08-20,Neutral,0.0,0.0,0,2,,0.0,6
2023-08-21,Neutral,0.0,0.0,0,2,,0.0,0
2023-08-22,Neutral,0.0,0.0,0,2,,0.0,1
2023-08-23,Neutral,0.0,0.0,0,2,,0.0,2
2023-08-24,Neutral,0.0,0.0,0,2,,0.0,3
2023-08-25,Neutral,0.0,0.0,0,2,,0.0,4
2023-08-26,Neutral,0.0,0.0,0,2,,0.0,5
